9400	0,0,56,4,62,197,60,0,16,48,32,124,163,34,60,0
9410	0,0,28,32,96,163,28,0,4,4,4,62,69,196,60,0
9420	0,0,56,68,249,66,60,0,12,10,20,112,159,48,80,96
9430	0,0,28,36,93,134,4,24,0,48,80,95,120,203,76,0
9440	0,16,0,16,49,214,8,0,16,0,16,48,211,60,80,96
9450	32,80,116,164,56,37,38,0,24,40,40,48,80,145,14,0
9460	0,0,104,84,212,85,86,0,0,0,0,56,100,165,38,0
9470	0,0,56,70,197,68,56,0,0,0,56,100,167,60,32,32
9480	0,0,56,100,188,5,6,4,0,0,36,122,161,32,32,0
9490	0,0,48,64,187,4,56,0,32,32,56,32,97,166,24,0
9500	0,0,36,100,164,37,26,0,0,0,35,38,105,168,16,0
9510	0,0,34,106,171,42,20,0,0,0,102,152,136,25,102,0
9520	0,0,36,100,191,20,36,24,0,0,56,72,145,34,116,12
